Employee ID,Date,Total Sales Amount,Total Units Sold,Region
E001,2023-03-08,1755.93,986,North
E002,2023-04-06,3988.27,145,West
E003,2023-04-26,2023.69,760,East
E004,2023-02-16,3020.94,675,West
E005,2023-06-23,2425.81,331,East
E006,2023-11-01,3100.82,326,East
E007,2023-11-25,4680.03,327,West
E008,2023-10-20,3025.18,514,East
E009,2023-02-18,1491.22,722,North
E010,2023-06-02,6892.27,233,East
E011,2023-02-17,8527.99,803,South
E012,2023-03-30,3444.48,281,East
E013,2023-08-18,9049.62,649,North
E014,2023-03-13,1356.65,981,South
E015,2023-10-20,4472.73,416,West
E016,2023-08-25,2960.93,679,South
E017,2023-08-19,1426.86,545,West
E018,2023-12-19,7854.84,415,South
E019,2023-01-21,1663.15,982,North
E020,2023-08-26,1619.19,941,North
E021,2023-01-25,5952.2,912,West
E022,2023-08-23,8801.53,619,East
E023,2023-10-30,6188.67,189,East
E024,2023-08-25,4138.99,687,East
E025,2023-11-09,4610.88,753,North
E026,2023-06-25,6726.5,486,South
E027,2023-02-04,7740.68,398,North
E028,2023-10-07,9594.0,859,East
E029,2023-02-01,8506.85,648,East
E030,2023-07-26,1377.74,309,South
E031,2023-09-12,4730.78,442,South
E032,2023-04-24,9195.75,132,North
E033,2023-02-01,3287.86,519,North
E034,2023-08-09,5785.36,405,East
E035,2023-11-19,5912.3,108,East
E036,2023-08-12,5405.33,447,North
E037,2023-01-03,4343.05,867,East
E038,2023-02-28,5964.12,804,East
E039,2023-10-12,9602.21,456,North
E040,2023-11-19,6255.71,998,West
E041,2023-05-15,4979.38,289,East
E042,2023-04-08,4221.55,317,West
E043,2023-03-03,3128.84,758,North
E044,2023-02-23,2793.24,658,North
E045,2023-05-26,5584.0,116,East
E046,2023-10-31,1188.83,357,West
E047,2023-11-08,6695.74,225,North
E048,2023-10-18,9428.84,179,South
E049,2023-09-05,2946.58,733,East
E050,2023-05-25,1536.56,304,West
E051,2023-12-11,1626.02,659,South
E052,2023-09-03,1351.42,389,South
E053,2023-05-29,1150.12,311,South
E054,2023-02-26,3437.31,996,West
E055,2023-11-28,5970.24,905,East
E056,2023-01-31,6518.54,302,South
E057,2023-06-13,1967.02,439,West
E058,2023-06-13,6555.16,575,East
E059,2023-11-07,5874.22,930,North
E060,2023-01-21,2516.37,514,North
E061,2023-04-27,1219.05,666,West
E062,2023-11-15,8819.35,330,South
E063,2023-07-04,3221.64,518,North
E064,2023-10-31,3868.66,434,South
E065,2023-06-17,2039.7,151,South
E066,2023-11-27,9270.53,469,West
E067,2023-04-07,7419.52,311,East
E068,2023-12-15,2944.28,142,West
E069,2023-09-22,9542.03,522,North
E070,2023-08-23,6490.34,415,South
E071,2023-09-25,6892.31,232,East
E072,2023-12-18,1233.12,622,North
E073,2023-12-05,7913.57,225,North
E074,2023-08-09,1375.75,201,East
E075,2023-08-20,9954.82,124,East
E076,2023-08-11,4114.7,370,East
E077,2023-11-07,9320.3,766,South
E078,2023-10-07,1551.72,665,North
E079,2023-03-04,3022.41,708,West
E080,2023-04-08,2181.18,194,South
E081,2023-10-14,2143.8,939,North
E082,2023-08-22,5058.37,939,West
E083,2023-05-22,4108.08,579,North
E084,2023-09-11,2776.15,970,North
E085,2023-12-26,9243.93,174,North
E086,2023-06-18,8874.14,649,East
E087,2023-09-28,7041.07,905,West
E088,2023-12-29,3926.27,223,West
E089,2023-11-04,6155.89,614,North
E090,2023-10-24,2045.25,596,West
E091,2023-12-17,1323.42,922,West
E092,2023-08-02,9201.14,386,West
E093,2023-02-24,6154.91,792,West
E094,2023-10-07,8577.12,191,South
E095,2023-01-09,8008.36,872,South
E096,2023-02-07,1618.05,966,North
E097,2023-11-29,2430.71,485,North
E098,2023-01-29,3665.87,460,West
E099,2023-03-15,1146.46,222,West
E100,2023-08-05,8368.97,440,North
E001,2023-05-15,8591.99,895,East
E002,2023-12-25,4351.6,191,West
E003,2023-09-14,2560.51,533,East
E004,2023-11-15,5614.14,359,East
E005,2023-04-09,5361.51,325,East
E006,2023-03-26,8042.11,996,West
E007,2023-08-28,1184.34,552,South
E008,2023-08-28,3168.02,937,East
E009,2023-04-03,5570.68,299,South
E010,2023-06-25,2708.34,110,North
E011,2023-02-25,3151.78,800,West
E012,2023-12-20,4926.33,831,North
E013,2023-12-08,5576.34,533,North
E014,2023-05-04,4141.49,418,West
E015,2023-09-30,2742.38,871,South
E016,2023-09-21,4228.84,444,East
E017,2023-03-08,1739.6,679,South
E018,2023-05-28,6941.8,656,South
E019,2023-03-11,1956.17,272,South
E020,2023-04-17,5208.27,149,East
E021,2023-11-08,5356.35,308,East
E022,2023-10-31,5993.53,176,East
E023,2023-07-17,9720.38,602,East
E024,2023-08-26,2571.97,726,South
E025,2023-09-27,4056.12,418,East
E026,2023-07-19,2772.03,523,North
E027,2023-02-28,7312.11,349,West
E028,2023-09-20,3468.59,534,North
E029,2023-09-12,7878.38,624,South
E030,2023-03-24,8003.65,821,South
E031,2023-12-24,9831.91,713,East
E032,2023-04-26,6614.83,635,West
E033,2023-03-06,9660.43,921,West
E034,2023-04-15,4725.99,540,East
E035,2023-02-14,7410.22,442,West
E036,2023-08-26,4447.13,259,East
E037,2023-09-10,9284.21,237,South
E038,2023-11-25,1889.6,848,West
E039,2023-09-24,9388.47,834,West
E040,2023-03-21,6277.16,886,East
E041,2023-05-02,5070.06,661,East
E042,2023-12-06,1709.42,888,North
E043,2023-01-30,1732.15,639,West
E044,2023-08-12,7747.92,296,South
E045,2023-06-28,3491.93,266,East
E046,2023-05-19,9191.48,440,West
E047,2023-12-09,6219.33,291,South
E048,2023-09-27,8900.96,145,South
E049,2023-09-19,2864.05,184,North
E050,2023-04-04,9928.12,407,East
E051,2023-05-09,8750.99,296,South
E052,2023-10-11,4840.72,752,South
E053,2023-06-15,7879.87,223,East
E054,2023-02-05,9272.66,134,South
E055,2023-12-07,3168.36,123,West
E056,2023-11-14,5961.39,232,West
E057,2023-09-12,6379.03,515,South
E058,2023-03-12,6547.95,116,East
E059,2023-11-18,6356.7,103,East
E060,2023-05-28,3413.62,335,North
E061,2023-11-07,8265.13,616,North
E062,2023-02-04,7475.12,944,East
E063,2023-02-16,2677.98,891,West
E064,2023-05-23,1803.61,506,West
E065,2023-08-05,8962.74,210,North
E066,2023-05-06,1975.78,360,South
E067,2023-07-10,6414.64,736,South
E068,2023-05-18,2664.07,255,North
E069,2023-02-06,1067.93,708,North
E070,2023-08-21,8623.8,638,West
E071,2023-04-27,5045.8,401,South
E072,2023-04-05,9998.75,692,South
E073,2023-05-20,7649.63,911,East
E074,2023-01-01,9120.25,967,West
E075,2023-02-19,8344.07,392,North
E076,2023-07-05,5412.12,962,South
E077,2023-04-11,1838.35,637,East
E078,2023-01-14,2142.08,899,North
E079,2023-11-09,7683.92,407,North
E080,2023-01-31,7252.27,553,East
E081,2023-05-14,4127.64,454,North
E082,2024-01-01,5439.92,700,North
E083,2023-01-09,5043.96,889,West
E084,2023-10-23,5343.69,421,West
E085,2023-06-16,2996.3,384,South
E086,2023-10-26,7750.52,568,South
E087,2023-02-04,6860.39,779,West
E088,2023-04-25,8506.22,280,West
E089,2023-07-16,2622.01,542,North
E090,2023-01-02,6271.99,796,North
E091,2023-03-04,1294.02,377,East
E092,2023-10-23,5414.46,866,North
E093,2023-02-17,6242.31,515,West
E094,2023-08-31,9880.36,229,West
E095,2023-09-15,3248.82,200,North
E096,2023-07-28,6656.55,883,West
E097,2023-12-15,6583.84,519,East
E098,2023-07-05,8293.21,728,South
E099,2023-04-02,3581.7,505,East
E100,2023-09-06,6652.61,250,South
E001,2023-07-21,9069.25,733,East
E002,2023-03-09,2070.52,288,West
E003,2023-04-19,4954.1,441,East
E004,2023-05-02,8232.14,187,West
E005,2023-05-06,2471.27,512,East
E006,2023-10-03,8985.39,972,West
E007,2023-11-25,6999.84,368,North
E008,2023-01-02,5073.11,326,South
E009,2023-05-21,6319.94,558,South
E010,2023-09-13,9624.48,722,East
E011,2023-06-22,7519.22,313,East
E012,2023-12-01,2298.01,759,South
E013,2023-09-15,1488.12,515,South
E014,2023-06-17,3575.86,114,South
E015,2023-03-04,8114.35,394,South
E016,2023-08-20,5262.3,362,North
E017,2023-08-18,9649.3,220,North
E018,2023-08-16,4829.63,163,West
E019,2023-10-27,2470.36,664,North
E020,2023-01-27,3828.57,140,West
E021,2023-11-25,4067.65,324,East
E022,2023-02-11,7117.9,125,North
E023,2023-09-26,6853.39,220,West
E024,2023-02-09,2186.12,987,West
E025,2023-03-02,5061.67,537,South
E026,2023-04-02,3692.72,180,South
E027,2023-08-04,3191.04,206,East
E028,2023-12-09,6235.1,278,South
E029,2023-12-18,7550.67,399,West
E030,2023-01-03,4303.58,351,North
E031,2023-05-02,9313.31,995,West
E032,2023-05-08,9888.58,216,North
E033,2023-11-22,8778.06,678,East
E034,2023-07-01,5354.96,972,West
E035,2023-01-14,5560.26,794,North
E036,2023-11-12,2047.44,126,East
E037,2023-04-27,1475.24,964,South
E038,2023-12-10,9477.97,784,South
E039,2023-02-04,7880.86,520,South
E040,2023-07-22,6471.11,382,South
E041,2023-11-05,5073.98,941,South
E042,2023-06-22,7858.58,945,South
E043,2023-04-14,3290.26,140,South
E044,2023-06-10,4250.39,159,East
E045,2023-03-13,7420.39,101,East
E046,2023-11-08,6893.68,252,West
E047,2023-10-04,7251.8,848,East
E048,2023-01-26,1378.02,157,East
E049,2023-12-12,4321.07,860,West
E050,2023-10-30,9975.49,615,East
E051,2023-10-31,4467.98,206,West
E052,2023-10-02,8143.83,158,South
E053,2023-06-04,3031.87,594,West
E054,2023-03-21,6602.01,139,South
E055,2023-01-10,7283.09,683,West
E056,2023-08-12,3162.58,632,North
E057,2023-12-24,5001.12,248,West
E058,2023-11-10,1781.16,847,North
E059,2023-03-01,7149.37,520,West
E060,2023-02-19,6860.49,712,North
E061,2023-11-23,8515.53,677,South
E062,2023-09-21,7801.4,824,East
E063,2023-12-05,8565.67,233,East
E064,2023-10-17,8920.29,325,West
E065,2023-08-16,1164.69,500,East
E066,2023-09-15,4973.74,953,West
E067,2023-06-15,2974.26,987,East
E068,2023-12-26,2968.41,841,South
E069,2023-10-04,5261.21,190,South
E070,2023-10-29,9299.4,702,East
E071,2023-08-13,9261.8,244,East
E072,2023-08-05,5666.52,609,North
E073,2023-10-28,4296.53,431,South
E074,2023-10-23,2888.35,495,North
E075,2023-06-12,3151.77,308,North
E076,2023-07-20,1105.6,707,East
E077,2023-09-30,6191.45,533,East
E078,2023-12-19,2420.63,164,West
E079,2023-04-19,4547.57,419,North
E080,2023-12-09,7499.18,408,North
E081,2023-07-31,1087.58,732,East
E082,2023-11-17,1314.94,968,East
E083,2023-03-08,5812.84,597,North
E084,2023-02-03,4807.81,442,North
E085,2023-03-19,9593.62,251,South
E086,2023-09-09,5400.93,631,North
E087,2023-07-03,8407.08,865,East
E088,2023-09-14,7218.5,210,West
E089,2023-08-23,6284.85,280,North
E090,2023-01-20,4209.72,846,South
E091,2023-10-13,1305.09,832,West
E092,2023-08-10,3535.43,332,East
E093,2023-05-31,9199.92,104,North
E094,2023-01-27,8545.43,460,East
E095,2023-02-13,1027.42,872,South
E096,2023-06-22,2188.77,905,North
E097,2023-06-09,4125.09,582,West
E098,2023-05-18,9486.92,370,North
E099,2023-04-10,6145.56,509,North
E100,2023-02-07,2924.2,176,South
E001,2023-09-06,1912.49,571,East
E002,2023-01-17,4118.12,462,East
E003,2023-06-18,9783.67,702,South
E004,2024-01-01,2211.02,538,East
E005,2023-10-27,8776.85,124,North
E006,2023-10-21,3794.48,928,West
E007,2023-12-29,9609.08,419,West
E008,2023-08-18,9446.18,871,North
E009,2023-07-10,9444.17,174,South
E010,2023-08-30,5803.35,379,South
E011,2023-10-19,9955.68,653,West
E012,2023-03-04,1295.75,705,North
E013,2023-05-04,3318.34,610,East
E014,2023-02-17,2458.45,837,North
E015,2023-09-23,4621.62,114,South
E016,2023-04-10,9953.52,188,East
E017,2023-01-18,3286.88,121,West
E018,2023-06-25,4186.94,284,West
E019,2023-02-13,1269.11,745,East
E020,2023-10-25,6721.43,198,East
E021,2023-02-02,2266.26,941,East
E022,2023-10-07,2879.52,664,East
E023,2023-06-08,2309.05,640,South
E024,2023-04-29,4580.08,775,South
E025,2023-01-14,8746.72,293,North
E026,2023-05-18,1887.96,391,West
E027,2023-06-17,9137.67,859,South
E028,2023-10-09,5195.75,401,North
E029,2023-07-30,7781.26,900,East
E030,2023-12-30,1626.75,797,North
E031,2023-12-21,4931.69,549,South
E032,2023-10-12,3138.39,873,East
E033,2023-02-13,9370.39,825,South
E034,2024-01-01,6231.13,348,East
E035,2023-06-20,6055.05,650,South
E036,2023-12-02,2167.86,788,North
E037,2023-08-29,7514.08,964,East
E038,2023-03-02,6580.74,364,South
E039,2023-09-28,5925.75,627,West
E040,2023-11-08,6165.97,439,East
E041,2023-04-16,8173.13,685,East
E042,2023-12-26,6870.75,127,North
E043,2023-02-01,2278.86,107,South
E044,2023-04-20,6342.17,935,South
E045,2023-03-16,8365.33,664,North
E046,2023-11-26,7511.07,309,East
E047,2023-11-16,3107.53,273,West
E048,2023-10-11,2693.47,206,West
E049,2023-10-15,7259.02,376,East
E050,2023-04-12,2657.01,920,West
E051,2023-12-09,8770.92,125,North
E052,2023-03-20,3428.17,665,South
E053,2023-06-29,4336.16,235,South
E054,2023-01-24,5931.33,436,South
E055,2023-01-23,9764.23,925,North
E056,2023-09-17,8696.54,205,East
E057,2023-04-07,3337.63,257,East
E058,2023-10-06,6986.87,974,South
E059,2023-09-15,5143.67,376,West
E060,2023-12-17,8448.31,540,East
E061,2023-11-08,7394.49,923,North
E062,2023-05-09,2233.46,467,West
E063,2023-09-18,9940.87,224,West
E064,2023-12-31,8269.21,951,West
E065,2023-10-03,8870.75,724,East
E066,2023-02-16,7722.99,847,East
E067,2023-01-29,5142.61,774,West
E068,2023-04-23,4610.07,168,South
E069,2023-06-07,8352.87,222,East
E070,2023-10-04,9541.32,137,West
E071,2023-08-21,9824.6,460,South
E072,2023-09-09,4894.4,763,East
E073,2023-02-17,5626.71,409,North
E074,2023-06-05,5981.05,362,West
E075,2023-07-27,3798.98,496,West
E076,2023-06-13,3407.89,542,North
E077,2023-08-03,5004.84,955,East
E078,2023-04-08,4605.25,912,North
E079,2023-10-08,2165.23,811,West
E080,2023-09-30,5713.03,925,North
E081,2023-06-23,2297.76,614,North
E082,2023-11-05,6016.87,843,East
E083,2023-04-05,8973.26,300,North
E084,2023-12-07,8986.08,884,East
E085,2023-01-29,9725.3,222,North
E086,2023-08-17,5557.55,813,South
E087,2023-03-27,2340.99,249,West
E088,2023-12-07,5551.42,918,East
E089,2023-01-12,3448.43,620,South
E090,2023-08-13,8243.85,667,South
E091,2023-10-05,3186.08,867,West
E092,2023-01-09,7698.25,253,South
E093,2023-04-23,2039.61,819,South
E094,2023-04-27,2804.45,474,South
E095,2023-10-21,6967.45,620,East
E096,2023-02-16,8372.3,782,North
E097,2023-06-10,2508.06,983,South
E098,2023-06-16,2751.44,488,South
E099,2023-12-06,5054.53,914,North
E100,2023-06-16,3008.22,196,East
E001,2023-11-09,6174.72,138,South
E002,2023-05-18,5194.3,505,South
E003,2023-05-18,3421.55,725,South
E004,2023-08-29,5923.29,107,South
E005,2023-04-02,7114.45,208,East
E006,2023-09-29,9781.49,407,East
E007,2023-07-02,8345.18,341,North
E008,2023-08-15,9352.83,593,South
E009,2023-08-17,4124.21,502,South
E010,2023-10-29,5086.96,377,West
E011,2023-03-29,1587.26,812,South
E012,2023-05-08,5978.25,103,South
E013,2023-05-28,5603.74,568,North
E014,2023-01-05,2073.88,112,East
E015,2023-08-15,3351.96,399,North
E016,2023-11-17,7046.44,672,South
E017,2023-07-24,2592.5,315,South
E018,2023-08-05,6834.69,776,East
E019,2023-07-11,3370.05,790,West
E020,2023-02-07,2291.01,266,South
E021,2023-04-08,5277.7,265,North
E022,2023-10-21,1560.52,265,East
E023,2023-11-17,6360.44,132,West
E024,2023-08-19,8289.45,764,East
