Region,Date,Total Sales Amount,Total Units Sold,Market Trend Index
North,2023-09-27,127537.44,2821,57.92
South,2023-12-31,419196.16,4953,58.34
East,2023-03-30,415750.72,4707,37.49
West,2023-10-17,276017.93,4010,25.92
North,2023-03-31,435895.1,3975,95.13
South,2023-09-12,245993.15,4965,94.45
East,2023-11-25,404027.23,1164,99.43
West,2023-01-14,324931.81,1961,73.34
North,2023-05-30,225851.05,2401,90.11
South,2023-09-20,345536.43,3281,47.68
East,2023-02-25,488006.89,2809,87.75
West,2023-07-27,390964.59,1313,36.55
North,2023-01-07,267708.47,3518,17.67
South,2023-01-04,382825.08,1295,7.19
East,2023-07-04,433183.77,2645,5.06
West,2023-12-05,231005.97,1560,44.35
North,2023-05-23,111095.06,4478,29.1
South,2023-02-09,364550.76,4772,40.72
East,2023-02-12,241678.07,3805,59.38
West,2023-06-08,400486.77,1650,7.71
North,2023-02-08,425980.59,3667,13.58
South,2023-01-27,147023.62,4570,15.91
East,2023-06-11,200065.14,2404,84.83
West,2023-09-22,312875.25,2696,55.43
North,2023-05-14,419680.36,1118,52.81
South,2023-11-30,454477.94,1057,8.19
East,2023-02-27,166905.38,2839,9.54
West,2023-08-21,494479.82,3485,9.18
North,2023-05-18,422496.7,3030,56.84
South,2023-03-10,295442.23,4467,89.11
East,2023-02-25,361627.63,1044,39.63
West,2023-06-18,491793.66,3584,15.76
North,2023-04-09,456221.55,4061,68.04
South,2023-12-09,176590.68,2065,17.22
East,2023-10-20,431998.28,1348,5.94
West,2023-05-22,434763.03,3747,6.18
North,2023-09-09,255295.54,4160,67.87
South,2023-03-17,336094.61,2523,74.6
East,2023-02-12,392028.64,3127,70.49
West,2023-10-24,465802.0,2548,67.77
North,2023-01-05,350667.32,2775,67.53
South,2023-04-16,400450.82,4789,95.06
East,2023-03-17,312788.26,2392,93.12
West,2023-02-16,349273.11,1906,82.2
North,2023-11-12,477459.63,4113,22.57
South,2023-08-25,291248.02,1608,8.96
East,2023-02-20,145978.08,3334,17.74
West,2023-10-10,473072.41,3941,21.63
North,2023-07-16,263279.56,3265,49.74
South,2023-05-07,378068.49,4001,70.66
East,2023-02-05,254437.33,4962,93.48
West,2023-08-27,337058.92,4091,60.38
North,2023-08-28,288252.97,4314,10.9
South,2023-04-28,126770.17,4542,60.6
East,2023-04-12,404244.28,2756,88.66
West,2023-05-31,325185.35,2635,22.9
North,2023-12-11,286015.22,3851,54.34
South,2023-08-06,464628.76,2257,50.91
East,2023-06-30,487977.22,2510,68.51
West,2023-09-23,143205.7,1768,12.95
North,2023-08-15,368740.68,1114,1.05
South,2023-09-06,234273.28,3071,13.44
East,2023-02-15,333601.85,3388,64.38
West,2023-08-27,499635.86,1587,18.28
North,2023-08-07,214064.62,3755,94.53
South,2023-02-15,189435.75,4301,28.75
East,2023-07-08,386895.57,1801,30.06
West,2023-12-21,137843.15,2273,7.96
North,2023-12-19,287532.05,4336,30.32
South,2023-11-17,121621.23,1375,47.51
East,2023-10-30,111126.52,1763,42.33
West,2023-07-18,331374.9,1739,66.59
North,2023-01-21,482378.54,3271,1.77
South,2023-07-24,314368.67,4699,5.52
East,2023-12-06,381670.63,3583,96.42
West,2023-05-06,207261.85,3393,33.47
North,2023-06-07,201121.9,4586,44.37
South,2023-07-21,249319.25,3303,37.29
East,2023-09-06,116480.46,2763,18.68
West,2023-05-25,146689.68,4265,27.43
North,2023-06-18,212957.98,1190,96.48
South,2023-03-13,485274.97,4970,50.03
East,2023-12-03,470146.48,4314,47.96
West,2023-01-05,240255.85,4901,83.44
North,2023-08-29,333684.44,2428,50.86
South,2023-11-14,352311.38,1375,37.7
East,2023-04-06,442412.23,2814,1.01
West,2023-10-03,429793.8,4017,34.95
North,2023-07-10,349215.43,3029,26.48
South,2023-07-27,299164.14,3962,49.15
East,2023-06-13,248518.73,3436,47.02
West,2023-12-21,353286.27,1820,39.44
North,2023-04-05,389422.65,3164,31.28
South,2023-01-01,127033.51,3198,38.16
East,2023-08-21,273066.44,2097,22.17
West,2023-07-09,234443.81,4282,47.16
North,2023-09-14,189652.63,3171,45.96
South,2023-12-21,235194.12,1900,76.6
East,2023-02-19,250702.11,4531,89.28
West,2023-02-25,158002.27,4524,41.61
North,2023-02-26,201024.36,2286,75.36
South,2023-09-09,187873.14,3532,5.38
East,2023-09-12,427659.09,4984,21.95
West,2023-06-24,206815.88,4090,3.81
North,2023-12-12,236763.42,1897,59.95
South,2023-09-25,224585.83,3151,41.74
East,2023-10-07,120788.98,1450,72.03
West,2023-07-04,270007.08,4774,82.29
North,2023-08-31,197089.52,1737,5.78
South,2023-02-16,453319.44,1920,88.01
East,2023-09-03,238230.84,1016,88.23
West,2023-02-20,396060.92,2538,66.09
North,2023-07-25,192974.46,4945,75.16
South,2023-03-09,211099.86,3949,18.59
East,2023-07-01,184096.47,2634,79.37
West,2023-09-19,179105.15,3430,94.97
North,2023-05-13,287404.81,2014,66.05
South,2023-02-20,451881.37,2632,68.81
East,2023-08-22,165394.56,1783,19.66
West,2023-09-01,144218.02,3447,44.81
North,2023-08-30,297151.03,3679,87.91
South,2023-01-05,482282.21,1704,72.44
East,2023-03-30,381306.91,4402,69.07
West,2023-10-31,146996.78,4533,10.04
North,2023-09-14,381797.21,4341,54.48
South,2023-08-19,371517.92,4318,0.94
East,2023-10-30,330263.88,2098,84.27
West,2023-01-27,489854.21,3571,57.64
North,2023-03-21,491295.65,2073,30.59
South,2023-08-30,181665.05,3528,72.67
East,2023-04-30,358339.95,4628,1.31
West,2023-07-07,466138.13,4176,29.39
North,2023-05-16,158645.26,1483,89.88
South,2023-12-17,200299.95,2056,32.6
East,2023-09-09,173165.16,1015,31.21
West,2023-12-23,375074.32,4428,50.95
North,2023-10-20,384207.94,3645,12.31
South,2023-04-07,333177.0,4311,67.68
East,2023-08-21,280002.18,2476,22.19
West,2023-11-29,471460.15,4707,50.0
North,2023-01-07,378426.92,4765,78.06
South,2023-04-27,278893.97,1646,65.61
East,2023-07-10,139034.7,1312,16.81
West,2023-06-09,146101.61,3774,7.49
North,2023-07-24,129588.11,1138,92.21
South,2023-12-17,305010.56,1424,53.8
East,2023-08-25,132096.42,4990,80.3
West,2023-02-03,491086.32,3949,10.3
North,2023-12-23,249872.07,3193,80.44
South,2023-01-27,470471.56,3873,84.92
East,2023-07-18,454285.46,3718,87.11
West,2023-08-13,145642.81,2438,87.06
North,2023-12-25,191141.57,3353,24.03
South,2023-09-14,290550.58,4469,89.71
East,2023-12-18,320502.42,3458,78.58
West,2023-03-09,406130.76,1314,76.14
North,2023-05-25,402892.1,4772,60.84
South,2023-05-07,135817.93,4029,63.4
East,2023-04-12,327442.4,4068,35.66
West,2023-03-09,374060.74,1479,25.46
North,2023-03-21,345375.33,1417,26.66
South,2023-03-31,117881.82,2415,41.86
East,2023-01-31,302356.58,2975,56.46
West,2023-08-25,306998.92,3308,79.83
North,2023-10-31,305760.44,2290,21.75
South,2023-07-11,337702.23,4352,95.5
East,2023-04-04,319979.16,3528,43.45
West,2023-12-06,228119.83,4193,57.33
North,2023-09-11,205732.4,3518,43.21
South,2023-03-25,224182.56,3518,16.35
East,2023-09-14,149136.0,3062,58.11
West,2023-06-25,381624.43,1546,54.86
North,2023-08-06,453266.93,2271,59.18
South,2023-09-12,250502.96,2033,35.92
East,2023-10-28,125862.24,4189,88.75
West,2023-04-22,128329.58,4151,79.39
North,2023-06-24,404570.25,4908,4.43
South,2023-05-23,333038.11,4632,42.77
East,2023-12-08,366108.32,4614,23.02
West,2023-09-28,351473.59,1895,36.85
North,2023-10-30,480296.6,1564,93.01
South,2023-08-13,244197.2,2783,21.12
East,2023-06-06,302679.39,3992,0.69
West,2023-05-13,431093.39,3809,13.29
North,2023-02-24,417703.61,3919,65.73
South,2023-04-23,134747.36,3797,6.96
East,2023-08-13,145881.5,4082,15.3
West,2023-10-29,260409.65,2163,24.54
North,2023-06-26,417548.09,4844,22.51
South,2023-05-12,374394.1,4299,55.02
East,2023-01-18,264947.05,3717,88.54
West,2023-05-03,161291.4,2585,17.07
North,2023-08-12,197701.29,4210,36.57
South,2023-04-11,169951.67,1536,57.21
East,2023-08-06,119289.08,1203,33.77
West,2023-10-02,243809.9,1232,67.9
North,2023-06-21,102895.79,4712,4.84
South,2023-07-08,405977.13,3241,95.29
East,2023-11-23,166552.79,2342,60.58
West,2023-02-12,363675.13,2075,59.21
North,2023-02-02,220985.94,1498,63.8
South,2023-04-24,285629.48,4350,68.35
East,2023-07-14,215862.96,1618,99.5
West,2023-02-26,422040.2,4363,1.14
North,2023-11-28,446348.06,4442,99.79
South,2023-02-08,497760.25,4782,77.59
East,2023-10-26,475840.94,3607,29.57
West,2023-10-26,338133.31,4629,91.35
North,2023-10-17,393846.2,3926,72.87
South,2023-07-20,160170.1,2890,25.19
East,2023-02-20,363680.9,1513,45.83
West,2023-02-06,326647.16,4339,32.65
North,2023-04-09,192716.87,4972,62.86
South,2023-11-08,346413.79,1818,59.45
East,2023-06-12,101904.02,4146,4.97
West,2023-12-24,224454.0,1916,71.39
North,2023-01-20,192298.34,4999,94.37
South,2023-09-19,244703.92,2319,37.74
East,2023-11-04,154955.12,1539,81.04
West,2023-10-01,107593.73,3984,77.84
North,2023-04-25,242956.26,4843,69.43
South,2023-12-18,266867.1,4515,20.52
East,2023-02-09,441253.4,1850,25.55
West,2023-10-16,386217.96,1967,27.27
North,2023-04-15,410042.74,2655,74.36
South,2023-01-02,387604.05,4337,43.68
East,2023-07-15,440983.13,2364,23.93
West,2023-05-14,409409.45,3363,16.04
North,2023-05-01,458169.74,3834,61.81
South,2023-03-28,457517.38,2722,34.76
East,2023-02-12,167714.71,4070,33.62
West,2023-09-30,381912.18,4684,59.0
North,2023-10-10,352500.28,2658,88.4
South,2023-07-19,198135.93,2814,37.37
East,2023-09-24,322885.8,1636,74.69
West,2023-08-26,302950.32,2358,80.32
North,2023-10-05,435253.7,3922,99.07
South,2023-07-24,361290.45,2120,93.99
East,2023-04-02,497175.4,3386,50.2
West,2023-10-07,101615.3,4364,60.99
North,2023-05-21,220489.27,1661,89.95
South,2023-10-02,401351.34,2118,44.28
East,2023-11-21,326037.74,3932,41.47
West,2023-06-02,259434.53,3638,81.81
North,2023-06-06,461489.65,4108,43.64
South,2023-02-07,217607.64,1530,42.99
East,2023-02-11,178935.23,3597,98.12
West,2023-12-21,489732.48,4358,89.41
North,2023-01-22,372960.92,2337,22.72
South,2023-04-11,406120.9,1905,65.97
East,2023-08-03,364734.05,2320,57.93
West,2023-05-31,483534.98,3858,70.08
North,2023-03-14,416194.0,1119,20.63
South,2023-10-27,110467.93,1902,86.55
East,2023-05-31,307072.21,2055,44.22
West,2023-05-06,403514.42,3880,1.52
North,2023-08-14,198961.93,2197,53.54
South,2023-01-19,455443.93,3360,26.7
East,2023-10-28,276514.33,3154,22.81
West,2023-06-14,402259.09,3650,90.7
North,2023-02-06,439127.82,2647,70.12
South,2023-04-04,280681.44,3580,27.4
East,2023-01-16,235700.01,4882,63.91
West,2023-02-23,231219.37,1297,99.37
North,2023-06-18,449517.17,1340,43.17
South,2023-05-26,450797.44,3397,42.87
East,2023-03-12,386096.03,2544,76.49
West,2023-03-19,479980.65,2926,47.41
North,2023-11-22,486183.89,3587,79.63
South,2023-07-29,183236.71,1203,5.12
East,2023-01-10,109650.02,3753,64.97
West,2023-03-27,345904.84,4307,24.71
North,2023-08-31,363492.09,1007,75.87
South,2023-03-30,349194.74,3381,91.89
East,2023-04-27,229770.6,2996,88.65
West,2023-11-12,403735.43,4928,44.34
North,2023-06-16,354056.54,2246,98.3
South,2023-05-09,407618.7,3245,50.43
East,2023-04-14,428350.85,4603,5.98
West,2023-01-06,439923.3,3157,69.87
North,2023-02-04,287063.71,1683,75.68
South,2023-06-25,315720.95,4817,74.18
East,2023-03-22,321706.8,3790,19.51
